,Nombre,Fecha,Precio corriente,Precio extra,Precio primera
0,CEBOLLA CABEZONA BLANCA,2020-05-04,900.0,1100.0,1000.0
1,CEBOLLA CABEZONA BLANCA,2020-05-05,1000.0,1200.0,1100.0
2,CEBOLLA CABEZONA BLANCA,2020-05-06,1300.0,1500.0,1400.0
3,CEBOLLA CABEZONA BLANCA,2020-05-07,1300.0,1500.0,1400.0
4,CEBOLLA CABEZONA BLANCA,2020-05-08,1300.0,1500.0,1400.0
5,CEBOLLA CABEZONA BLANCA,2020-05-13,1600.0,1800.0,1700.0
6,CEBOLLA CABEZONA BLANCA,2020-05-18,1300.0,1500.0,1400.0
7,CEBOLLA CABEZONA BLANCA,2020-06-02,2200.0,2400.0,2300.0
8,CEBOLLA CABEZONA BLANCA,2020-06-08,2000.0,2200.0,2100.0
9,CEBOLLA CABEZONA BLANCA,2020-06-20,2000.0,2200.0,2100.0
10,CEBOLLA CABEZONA BLANCA,2020-06-24,1700.0,1900.0,1800.0
11,CEBOLLA CABEZONA BLANCA,2020-06-25,1700.0,1900.0,1800.0
12,CEBOLLA CABEZONA BLANCA,2020-07-09,1600.0,1800.0,1700.0
13,CEBOLLA CABEZONA BLANCA,2020-07-10,1600.0,1800.0,1700.0
14,CEBOLLA CABEZONA BLANCA,2020-07-11,1600.0,1800.0,1700.0
15,CEBOLLA CABEZONA BLANCA,2020-07-13,1800.0,2000.0,1900.0
16,CEBOLLA CABEZONA BLANCA,2020-07-15,1800.0,2000.0,1900.0
17,CEBOLLA CABEZONA BLANCA,2020-07-16,1400.0,1600.0,1500.0
18,CEBOLLA CABEZONA BLANCA,2020-07-17,1600.0,1800.0,1700.0
19,CEBOLLA CABEZONA BLANCA,2020-07-18,1600.0,1800.0,1700.0
20,CEBOLLA CABEZONA BLANCA,2020-07-21,1800.0,2000.0,1900.0
21,CEBOLLA CABEZONA BLANCA,2020-07-22,1800.0,2000.0,1900.0
22,CEBOLLA CABEZONA BLANCA,2020-07-23,1800.0,2000.0,1900.0
23,CEBOLLA CABEZONA BLANCA,2020-07-24,2000.0,2200.0,2100.0
24,CEBOLLA CABEZONA BLANCA,2020-07-25,2000.0,2200.0,2100.0
25,CEBOLLA CABEZONA BLANCA,2020-07-27,2000.0,2200.0,2100.0
26,CEBOLLA CABEZONA BLANCA,2020-07-28,1900.0,2100.0,2000.0
27,CEBOLLA CABEZONA BLANCA,2020-07-29,1600.0,1800.0,1700.0
28,CEBOLLA CABEZONA BLANCA,2020-07-30,1600.0,1800.0,1700.0
29,CEBOLLA CABEZONA BLANCA,2020-07-31,1600.0,1800.0,1700.0
30,CEBOLLA CABEZONA BLANCA,2020-08-01,1700.0,1900.0,1800.0
31,CEBOLLA CABEZONA BLANCA,2020-08-03,1700.0,1900.0,1800.0
32,CEBOLLA CABEZONA BLANCA,2020-08-04,1600.0,1800.0,1700.0
33,CEBOLLA CABEZONA BLANCA,2020-08-05,1600.0,1800.0,1700.0
34,CEBOLLA CABEZONA BLANCA,2020-08-06,1600.0,1800.0,1700.0
35,CEBOLLA CABEZONA BLANCA,2020-08-07,1700.0,1900.0,1800.0
36,CEBOLLA CABEZONA BLANCA,2020-08-08,1700.0,1900.0,1800.0
37,CEBOLLA CABEZONA BLANCA,2020-08-10,1800.0,2000.0,1900.0
38,CEBOLLA CABEZONA BLANCA,2020-08-11,1800.0,2000.0,1900.0
39,CEBOLLA CABEZONA BLANCA,2020-08-12,1600.0,1800.0,1700.0
40,CEBOLLA CABEZONA BLANCA,2020-08-13,1600.0,1800.0,1700.0
41,CEBOLLA CABEZONA BLANCA,2020-08-14,1600.0,1800.0,1700.0
42,CEBOLLA CABEZONA BLANCA,2020-08-15,1600.0,1800.0,1700.0
43,CEBOLLA CABEZONA BLANCA,2020-08-17,1500.0,1700.0,1600.0
44,CEBOLLA CABEZONA BLANCA,2020-08-18,1600.0,1800.0,1700.0
45,CEBOLLA CABEZONA BLANCA,2020-08-19,1600.0,1800.0,1700.0
46,CEBOLLA CABEZONA BLANCA,2020-08-20,1700.0,1900.0,1800.0
47,CEBOLLA CABEZONA BLANCA,2020-08-21,1700.0,1900.0,1800.0
48,CEBOLLA CABEZONA BLANCA,2020-08-24,1700.0,1900.0,1800.0
49,CEBOLLA CABEZONA BLANCA,2020-08-25,1600.0,1800.0,1700.0
50,CEBOLLA CABEZONA BLANCA,2020-08-26,1500.0,1700.0,1600.0
51,CEBOLLA CABEZONA BLANCA,2020-08-27,1500.0,1700.0,1600.0
52,CEBOLLA CABEZONA BLANCA,2020-08-28,1500.0,1700.0,1600.0
53,CEBOLLA CABEZONA BLANCA,2020-08-29,1500.0,1700.0,1600.0
54,CEBOLLA CABEZONA BLANCA,2020-08-31,1300.0,1500.0,1400.0
55,CEBOLLA CABEZONA BLANCA,2020-09-01,1300.0,1500.0,1400.0
56,CEBOLLA CABEZONA BLANCA,2020-09-02,1200.0,1400.0,1300.0
57,CEBOLLA CABEZONA BLANCA,2020-09-03,1200.0,1400.0,1300.0
58,CEBOLLA CABEZONA BLANCA,2020-09-04,1200.0,1400.0,1300.0
59,CEBOLLA CABEZONA BLANCA,2020-09-05,1200.0,1400.0,1300.0
60,CEBOLLA CABEZONA BLANCA,2020-09-07,1200.0,1400.0,1300.0
