,Nombre,Fecha,Precio corriente,Precio extra,Precio primera
0,CEBOLLA CABEZONA BLANCA,2017-01-02,720.0,800.0,760.0
1,CEBOLLA CABEZONA BLANCA,2017-01-03,720.0,800.0,760.0
2,CEBOLLA CABEZONA BLANCA,2017-01-04,700.0,900.0,800.0
3,CEBOLLA CABEZONA BLANCA,2017-01-05,800.0,1000.0,900.0
4,CEBOLLA CABEZONA BLANCA,2017-01-06,800.0,1000.0,900.0
5,CEBOLLA CABEZONA BLANCA,2017-01-07,900.0,1100.0,1000.0
6,CEBOLLA CABEZONA BLANCA,2017-01-10,1100.0,1300.0,1200.0
7,CEBOLLA CABEZONA BLANCA,2017-01-11,1200.0,1400.0,1300.0
8,CEBOLLA CABEZONA BLANCA,2017-01-12,1200.0,1400.0,1300.0
9,CEBOLLA CABEZONA BLANCA,2017-01-13,1300.0,1500.0,1400.0
10,CEBOLLA CABEZONA BLANCA,2017-01-14,1300.0,1500.0,1400.0
11,CEBOLLA CABEZONA BLANCA,2017-01-16,1200.0,1400.0,1300.0
12,CEBOLLA CABEZONA BLANCA,2017-01-17,1200.0,1400.0,1300.0
13,CEBOLLA CABEZONA BLANCA,2017-01-18,1100.0,1300.0,1200.0
14,CEBOLLA CABEZONA BLANCA,2017-01-19,1000.0,1200.0,1100.0
15,CEBOLLA CABEZONA BLANCA,2017-01-20,1100.0,1300.0,1200.0
16,CEBOLLA CABEZONA BLANCA,2017-01-21,1000.0,1200.0,1100.0
17,CEBOLLA CABEZONA BLANCA,2017-01-23,1100.0,1300.0,1200.0
18,CEBOLLA CABEZONA BLANCA,2017-01-25,1200.0,1400.0,1300.0
19,CEBOLLA CABEZONA BLANCA,2017-01-26,1200.0,1400.0,1300.0
20,CEBOLLA CABEZONA BLANCA,2017-01-27,1100.0,1300.0,1200.0
21,CEBOLLA CABEZONA BLANCA,2017-01-30,1200.0,1400.0,1300.0
22,CEBOLLA CABEZONA BLANCA,2017-01-31,1400.0,1700.0,1600.0
23,CEBOLLA CABEZONA BLANCA,2017-02-01,1360.0,1600.0,1500.0
24,CEBOLLA CABEZONA BLANCA,2017-02-02,1360.0,1600.0,1500.0
25,CEBOLLA CABEZONA BLANCA,2017-02-03,1600.0,1800.0,1700.0
26,CEBOLLA CABEZONA BLANCA,2017-02-06,1600.0,1800.0,1700.0
27,CEBOLLA CABEZONA BLANCA,2017-02-07,1600.0,1800.0,1700.0
28,CEBOLLA CABEZONA BLANCA,2017-02-08,1600.0,1800.0,1700.0
29,CEBOLLA CABEZONA BLANCA,2017-02-09,1500.0,1700.0,1600.0
30,CEBOLLA CABEZONA BLANCA,2017-02-10,1500.0,1700.0,1600.0
31,CEBOLLA CABEZONA BLANCA,2017-02-13,1600.0,1800.0,1700.0
32,CEBOLLA CABEZONA BLANCA,2017-02-14,1800.0,2000.0,1900.0
33,CEBOLLA CABEZONA BLANCA,2017-02-15,2000.0,2200.0,2200.0
34,CEBOLLA CABEZONA BLANCA,2017-02-16,1800.0,2000.0,1900.0
35,CEBOLLA CABEZONA BLANCA,2017-02-17,1500.0,1700.0,1600.0
36,CEBOLLA CABEZONA BLANCA,2017-02-20,1500.0,1700.0,1600.0
37,CEBOLLA CABEZONA BLANCA,2017-02-21,1500.0,1700.0,1600.0
38,CEBOLLA CABEZONA BLANCA,2017-02-22,1600.0,1800.0,1700.0
39,CEBOLLA CABEZONA BLANCA,2017-02-23,1500.0,1700.0,1600.0
40,CEBOLLA CABEZONA BLANCA,2017-02-24,1600.0,1800.0,1700.0
41,CEBOLLA CABEZONA BLANCA,2017-02-27,1700.0,2000.0,1900.0
42,CEBOLLA CABEZONA BLANCA,2017-02-28,2300.0,2500.0,2400.0
