,Nombre,Fecha,Precio corriente,Precio extra,Precio primera
0,CEBOLLA CABEZONA BLANCA,2020-01-29,500.0,700.0,600.0
1,CEBOLLA CABEZONA BLANCA,2020-01-31,400.0,600.0,500.0
2,CEBOLLA CABEZONA BLANCA,2020-02-06,400.0,600.0,500.0
3,CEBOLLA CABEZONA BLANCA,2020-02-11,400.0,500.0,440.0
4,CEBOLLA CABEZONA BLANCA,2020-02-12,440.0,560.0,500.0
5,CEBOLLA CABEZONA BLANCA,2020-02-17,500.0,600.0,560.0
6,CEBOLLA CABEZONA BLANCA,2020-02-18,500.0,600.0,560.0
7,CEBOLLA CABEZONA BLANCA,2020-02-20,400.0,500.0,460.0
8,CEBOLLA CABEZONA BLANCA,2020-02-21,440.0,600.0,500.0
9,CEBOLLA CABEZONA BLANCA,2020-02-24,440.0,600.0,500.0
10,CEBOLLA CABEZONA BLANCA,2020-02-26,440.0,600.0,500.0
11,CEBOLLA CABEZONA BLANCA,2020-02-29,400.0,500.0,460.0
12,CEBOLLA CABEZONA BLANCA,2020-03-09,500.0,700.0,600.0
13,CEBOLLA CABEZONA BLANCA,2020-03-17,640.0,800.0,700.0
14,CEBOLLA CABEZONA BLANCA,2020-03-25,900.0,1100.0,1000.0
15,CEBOLLA CABEZONA BLANCA,2020-03-26,700.0,900.0,800.0
16,CEBOLLA CABEZONA BLANCA,2020-03-28,600.0,800.0,700.0
17,CEBOLLA CABEZONA BLANCA,2020-04-01,500.0,700.0,600.0
18,CEBOLLA CABEZONA BLANCA,2020-04-06,800.0,1000.0,900.0
19,CEBOLLA CABEZONA BLANCA,2020-04-07,800.0,1000.0,900.0
20,CEBOLLA CABEZONA BLANCA,2020-04-08,800.0,1000.0,900.0
21,CEBOLLA CABEZONA BLANCA,2020-04-13,800.0,1000.0,900.0
22,CEBOLLA CABEZONA BLANCA,2020-04-14,800.0,1000.0,900.0
23,CEBOLLA CABEZONA BLANCA,2020-04-15,800.0,1000.0,900.0
24,CEBOLLA CABEZONA BLANCA,2020-04-16,800.0,1000.0,900.0
25,CEBOLLA CABEZONA BLANCA,2020-04-17,700.0,900.0,800.0
26,CEBOLLA CABEZONA BLANCA,2020-04-18,700.0,900.0,800.0
27,CEBOLLA CABEZONA BLANCA,2020-04-20,800.0,1000.0,900.0
28,CEBOLLA CABEZONA BLANCA,2020-04-21,600.0,800.0,700.0
29,CEBOLLA CABEZONA BLANCA,2020-04-22,600.0,800.0,700.0
30,CEBOLLA CABEZONA BLANCA,2020-04-23,700.0,900.0,800.0
31,CEBOLLA CABEZONA BLANCA,2020-04-24,800.0,1000.0,900.0
32,CEBOLLA CABEZONA BLANCA,2020-04-27,800.0,1000.0,900.0
33,CEBOLLA CABEZONA BLANCA,2020-04-28,960.0,1100.0,1000.0
